front,oblast,raion
Central Russia,Belgorod oblast,Korocha raion
Central Russia,Belgorod oblast,Valuyki raion
Central Russia,Belgorod oblast,Krasnaya Yaruga raion
Central Russia,Belgorod oblast,Shebekino raion
Central Russia,Belgorod oblast,Yakovlevo raion
Central Russia,Belgorod oblast,Grayvoron raion
Central Russia,Belgorod oblast,Belgorod raion
Central Russia,Belgorod oblast,Borisovka raion
Central Russia,Bryansk oblast,Unecha raion
Central Russia,Bryansk oblast,Starodub raion
Central Russia,Bryansk oblast,Klintsy raion
Central Russia,Bryansk oblast,Sevsk raion
Central Russia,Kursk oblast,Rylsk raion
Central Russia,Kursk oblast,Dmitriyev raion
Central Russia,Kursk oblast,Glushkovo raion
Central Russia,Kursk oblast,Korenevo raion
Central Russia,Kursk oblast,Sudzha raion
Central Russia,Kursk oblast,Belovsk raion
Central Russia,Kursk oblast,Bolshoe Soldatskoe raion
Central Russia,Kursk oblast,Lgov raion
Central Russia,Kursk oblast,Fatezh raion
Central Russia,Ryazan Oblast,Dyagilevo raion
Central Russia,Samara oblast,Alexeyevka raion
Central Russia,Saratov oblast,Engels raion
Central Russia,Voronezh oblas,Ostrogozhsk raion
Central Russia,Voronezh oblas,Talovaya raion
Central Russia,Voronezh oblas,Pavlovsk raion
Central Russia,Voronezh oblas,Kantemirovka raion
Central Russia,Voronezh oblas,Novaya Usman raion
Central Russia,Voronezh oblas,Kashirskoe raion
East Ukraine,Dnipropetrovsk oblast,Dnipro raion
East Ukraine,Dnipropetrovsk oblast,Kamianske raion
East Ukraine,Dnipropetrovsk oblast,Kryvyi Rih raion
East Ukraine,Dnipropetrovsk oblast,Nikopol raion
East Ukraine,Dnipropetrovsk oblast,Pavlohrad raion
East Ukraine,Dnipropetrovsk oblast,Samar raion
East Ukraine,Dnipropetrovsk oblast,Synelnykove raion
East Ukraine,Donetsk oblast,Bakhmut raion
East Ukraine,Donetsk oblast,Donetsk raion
East Ukraine,Donetsk oblast,Horlivka raion
East Ukraine,Donetsk oblast,Kalmius raion
East Ukraine,Donetsk oblast,Kramatorsk raion
East Ukraine,Donetsk oblast,Mariupol raion
East Ukraine,Donetsk oblast,Pokrovsk raion
East Ukraine,Donetsk oblast,Volnovakha raion
East Ukraine,Kharkiv oblast,Berestyn raion
East Ukraine,Kharkiv oblast,Bohodukhiv raion
East Ukraine,Kharkiv oblast,Chuhuiv raion
East Ukraine,Kharkiv oblast,Izium raion
East Ukraine,Kharkiv oblast,Kharkiv raion
East Ukraine,Kharkiv oblast,Kupiansk raion
East Ukraine,Kharkiv oblast,Lozova raion
East Ukraine,Luhansk oblast,Alchevsk raion
East Ukraine,Luhansk oblast,Dovzhansk raion
East Ukraine,Luhansk oblast,Luhansk raion
East Ukraine,Luhansk oblast,Rovenky raion
East Ukraine,Luhansk oblast,Shchastia raion
East Ukraine,Luhansk oblast,Sievierodonetsk raion
East Ukraine,Luhansk oblast,Starobilsk raion
East Ukraine,Luhansk oblast,Svatove raion
East Ukraine,Zaporizhzhia oblast,Berdiansk raion
East Ukraine,Zaporizhzhia oblast,Melitopol raion
East Ukraine,Zaporizhzhia oblast,Polohy raion
East Ukraine,Zaporizhzhia oblast,Vasylivka raion
East Ukraine,Zaporizhzhia oblast,Zaporizhzhia raion
North Ukraine,Cherkasy oblast,Cherkasy raion
North Ukraine,Cherkasy oblast,Uman raion
North Ukraine,Cherkasy oblast,Zolotonosha raion
North Ukraine,Cherkasy oblast,Zvenyhorodka raion
North Ukraine,Chernihiv oblast,Chernihiv raion
North Ukraine,Chernihiv oblast,Koriukivka raion
North Ukraine,Chernihiv oblast,Nizhyn raion
North Ukraine,Chernihiv oblast,Novhorod-Siverskyi raion
North Ukraine,Chernihiv oblast,Pryluky raion
North Ukraine,Kyiv oblast,Bila Tserkva raion
North Ukraine,Kyiv oblast,Boryspil raion
North Ukraine,Kyiv oblast,Brovary raion
North Ukraine,Kyiv oblast,Bucha raion
North Ukraine,Kyiv oblast,Fastiv raion
North Ukraine,Kyiv oblast,Obukhiv raion
North Ukraine,Kyiv oblast,Vyshhorod raion
North Ukraine,Poltava oblast,Kremenchuk raion
North Ukraine,Poltava oblast,Lubny raion
North Ukraine,Poltava oblast,Myrhorod raion
North Ukraine,Poltava oblast,Poltava raion
North Ukraine,Sumy oblast,Konotop raion
North Ukraine,Sumy oblast,Okhtyrka raion
North Ukraine,Sumy oblast,Romny raion
North Ukraine,Sumy oblast,Shostka raion
North Ukraine,Sumy oblast,Sumy raion
North Ukraine,Zhytomyr oblast,Berdychiv raion
North Ukraine,Zhytomyr oblast,Korosten raion
North Ukraine,Zhytomyr oblast,Zhytomyr raion
North Ukraine,Zhytomyr oblast,Zviahel raion
NorthWest Russia,Novgorod oblast,Soltsy raion
NorthWest Russia,Pskov oblast,Ostrov raion
NorthWest Russia,Pskov oblast,Pskov raion
Siberia Russia,Omsk oblast,Omsk raion
Siberia Russia,Irkutsk oblast,Cheremkhovo raion
South Ukraine,Crimea,Bakhchysarai raion
South Ukraine,Crimea,Bilohirsk raion
South Ukraine,Crimea,Dzhankoi raion
South Ukraine,Crimea,Kirovske raion
South Ukraine,Crimea,Krasnohvardiiske raion
South Ukraine,Crimea,Krasnoperekopsk raion
South Ukraine,Crimea,Lenine raion
South Ukraine,Crimea,Nyzhniohirskyi raion
South Ukraine,Crimea,Pervomaiske raion
South Ukraine,Crimea,Rozdolne raion
South Ukraine,Crimea,Saky raion
South Ukraine,Crimea,Sevastopol raion
South Ukraine,Crimea,Simferopol raion
South Ukraine,Crimea,Sovetskyi raion
South Ukraine,Crimea,Chornomorske raion
South Ukraine,Crimea,Perekop raion
South Ukraine,Crimea,Yevpatoriia raion
South Ukraine,Crimea,Feodosiia raion
South Ukraine,Crimea,Kerch raion
South Ukraine,Crimea,Bakhchisarai raion
South Ukraine,Kherson oblast,Beryslav raion
South Ukraine,Kherson oblast,Henichesk raion
South Ukraine,Kherson oblast,Kakhovka raion
South Ukraine,Kherson oblast,Kherson raion
South Ukraine,Kherson oblast,Nova Kakhovka
South Ukraine,Kherson oblast,Skadovsk raion
South Ukraine,Kirovohrad oblast,Holovanivsk raion
South Ukraine,Kirovohrad oblast,Kropyvnytskyi raion
South Ukraine,Kirovohrad oblast,Novoukrainka raion
South Ukraine,Kirovohrad oblast,Oleksandriia raion
South Ukraine,Mykolaiv oblast,Bashtanka raion
South Ukraine,Mykolaiv oblast,Mykolaiv raion
South Ukraine,Mykolaiv oblast,Pervomaisk raion
South Ukraine,Mykolaiv oblast,Voznesensk raion
South Ukraine,Odesa oblast,Berezivka raion
South Ukraine,Odesa oblast,Bilhorod-Dnistrovskyi raion
South Ukraine,Odesa oblast,Bolhrad raion
South Ukraine,Odesa oblast,Izmail raion
South Ukraine,Odesa oblast,Odesa raion
South Ukraine,Odesa oblast,Podilsk raion
South Ukraine,Odesa oblast,Rozdilna raion
South Ukraine,Vinnytsia oblast,Haisyn raion
South Ukraine,Vinnytsia oblast,Khmilnyk raion
South Ukraine,Vinnytsia oblast,Mohyliv-Podilskyi raion
South Ukraine,Vinnytsia oblast,Tulchyn raion
South Ukraine,Vinnytsia oblast,Vinnytsia raion
South Ukraine,Vinnytsia oblast,Zhmerynka raion
SouthWest Russia,Astrakhan Oblast,Akhtubinsk raion
SouthWest Russia,Krasnodar krai,Kanevskaya raion
SouthWest Russia,Krasnodar krai,Kushchyovskaya raion
SouthWest Russia,Krasnodar krai,Novokubansk raion
SouthWest Russia,Krasnodar krai,Temryuk raion
SouthWest Russia,Krasnodar krai,Krymsk raion
SouthWest Russia,Krasnodar krai,Yeysk raion
SouthWest Russia,Rostov oblast,Millerovo raion
SouthWest Russia,Rostov oblast,Chertkovo raion
SouthWest Russia,Rostov oblast,Neklinovka raion
SouthWest Russia,Rostov oblast,Morozovsk raion
SouthWest Russia,Stavropol krai,Krasnogvardeiskoe raion 
SouthWest Russia,Volgograd oblast,Serafimovich raion
Belarus,Brest oblast,Baranavichi raion
Belarus,Gomel oblast,Gomel raion
Black Sea,Black sea,Black sea
Azov Sea,Azov sea,Azov sea
